Unnamed: 0,date,top_5_titles
0,2019-11-10,Dreading winter? Check out these 3 simple ways to help keep your kids healthy this season - Johnson & Johnson
1,2019-11-11,Johnson & Johnson's Tremfya backs psoriatic arthritis play with newest data - FiercePharma|FDA Class 1 Recall of J&J/Ethicon Surgical Staplers - Louisville Personal Injury Attorney
2,2019-11-12,Ebola vaccine approved as second jab trialled - BBC
3,2019-11-13,"CIO50 2019: #18 Angela Coble, Johnson & Johnson - CIO|Q&A: How to overhaul community health for improved global outcomes - Devex|Dr Koongoo keessatti talaalliin Iboolaa marsaa lammaffaan kennamuufi - BBC.com"
4,2019-11-14,Oklahoma judge reduces penalty against Johnson & Johnson in opioid crisis lawsuit - Fox News|Oklahoma Judge Shaves $107 Million Off Opioid Decision Against Johnson & Johnson - NPR
5,2019-11-15,"Whoops. Judge Reduces J&J Opioid Fine After Mistaking Thousands for Millions (Published 2019) - The New York Times|AHA: Johnson & Johnson, Bayer still looking for answers in aborted Xarelto study - FiercePharma|Rollout of Johnson & Johnson Ebola vaccine begins in Congo - The Fiji Times"
6,2019-11-16,Lee So-young cruised to two-stroke victory at 2019 LF Hazzys Point Final Championship - 코리아타임스
7,2019-11-17,"Inflammatory Bowel Disease Insight Report: Current Therapies, Drug Pipeline and Outlook - BioSpace"
8,2019-11-18,What Do Working Dads Want? Flexibility and Paid Family Leave to Start - Johnson & Johnson|Top 10 pharma settlements since 2018 - FiercePharma|New York CIO Leadership Association 2019: Larry Jones - Crain's New York Business
9,2019-11-19,Pelvic mesh maker Johnson and Johnson loses class action suit - ABC News|Johnson & Johnson invests EGP 2.3bn in Egypt - Daily News Egypt|Australian women win landmark vaginal mesh class action against Johnson & Johnson - The Guardian|Australian women win mesh implant class action lawsuit against Johnson & Johnson - Feminist Current
10,2019-11-20,Global Cosmetic Skin Care Market 2019-2023|Evolving Opportunities with Beiersdorf and Johnson & Johnson Services|Technavio - Business Wire|Johnson & Johnson loses vaginal mesh class action - BBC|New Cervical Spine System from DePuy Synthes Advances Treatment Options for Patients with Complex Cervical Spine Disorders - PR Newswire
11,2019-11-21,'Treated like guinea pigs': Landmark win for Australian women - The Canberra Times|Pelvic mesh maker Johnson and Johnson loses class action suit - The New Daily|J&J's DePuy Synthes launches surgical fixation system for patients with frailer head and neck bones - Fierce Biotech
12,2019-11-22,"Fight is not over, says winner of vaginal mesh implant court victory - CNN"
13,2019-11-23,nan
14,2019-11-24,
15,2019-11-25,
16,2019-11-26,Epidemiology of Hematologic Malignancies in Real-World Settings: Findings From the Hemato-Oncology Latin America Observational Registry Study - ASCO Journals|Development of PsA Linked to Tenosynovitis in Patients With Arthralgia - AJMC.com Managed Markets Network
17,2019-11-27,
18,2019-11-28,
19,2019-11-29,
20,2019-11-30,
21,2019-12-01,"Have IBD? Read about the next frontier in disease research that taps into the microbiome - Johnson & Johnson|Ski-in, ski-out Vail chalet formerly owned by Johnson & Johnson heiress listed for $26M (Photos) - The Business Journals"
22,2019-12-02,Johnson & Johnson confirms no asbestos in Johnson's Baby Powder - CNBC|The top 15 biopharma M&A mistakes of the last decade - FiercePharma
23,2019-12-03,J&J Stock Gains After Company Says FDA Wrong About Asbestos In Baby Powder - Barron's|Johnson & Johnson Confirms No Asbestos In Johnson's Baby Powder - Checkout|2019 Australian 15 Years and Under Championship - Jack Newton Junior Golf
24,2019-12-04,"Johnson & Johnson Names Hubert Joly, Executive Chairman of Best Buy and Mark A. Weinberger, Former EY Global Chairman and CEO to its Board of Directors - PR Newswire"
25,2019-12-05,Hubert Joly - Johnson & Johnson
26,2019-12-06,"Vindicated. New J&J CAR-T myeloma data confirm strong efficacy, ease doubts raised by Chinese version - STAT"
27,2019-12-07,The Weekly|Johnson & Johnson Lawsuits Raise Fears Over Baby Powder (Published 2019) - The New York Times
28,2019-12-08,ASH: J&J's Darzalex cuts death risk by 40% in new myeloma patients - FiercePharma
29,2019-12-09,
30,2019-12-10,
31,2019-12-11,
32,2019-12-12,
33,2019-12-13,
34,2019-12-14,
35,2019-12-15,"Pfizer, Astellas' Xtandi matches J&J's rival Erleada with new prostate cancer nod - FiercePharma"
36,2019-12-16,This is the decade we made one of the world’s deadliest diseases preventable and curable - Wellcome Trust
37,2019-12-17,
38,2019-12-18,▼ (Esketamine) Nasal Spray Approved in Europe for Adults with Treatment-Resistant Major Depressive Disorder - Business Wire
39,2019-12-19,Johnson & Johnson Announces Agreement to Acquire Remaining Stake in Verb Surgical Inc. - PR Newswire|J&J to acquire remaining stake in Verb Surgical - Mass Device|J&J takes over Verb Surgical as Verily exits robotics partnership - MedTech Dive|Johnson & Johnson Agrees to Acquire Remaining Stake in Verb Surgical Inc. - MPO-mag
40,2019-12-20,Johnson & Johnson Acquires Taris Biomedical - FinSMEs
41,2019-12-21,
42,2019-12-22,J&J taps TARIS Biomedical for novel bladder cancer technology - PMLiVE | Johnson & Johnson Acquires TARIS Biomedical - njbmagazine.com | Johnson & Johnson buys out Verily stake in Verb Surgical - Robot Report | Jury backs Johnson & Johnson in talc cancer case - Fox Business
43,2019-12-23,Carcinogens in Consumer Products - C-SPAN
44,2019-12-24,The 5 best and 5 worst pharma deals of the decade: Leerink - Business Insider
45,2019-12-25,Look for the sign: The unique way Johnson & Johnson helped ring in the New Year in 1915 - Johnson & Johnson
46,2019-12-26,
47,2019-12-27,
48,2019-12-28,
49,2019-12-29,
50,2019-12-30,
51,2019-12-31,
52,2020-01-01,"AG Ferguson sues opioid manufacturer Johnson & Johnson over state’s opioid epidemic - Washington State|Office of the Attorney General|Biosimilars a '21st century revolution that we're helping to lead', says Biogen exec - The Pharma Letter"
53,2020-01-02,
54,2020-01-03,Johnson & Johnson faces criminal charges in faulty hip implants case - The Economic Times
55,2020-01-04,
56,2020-01-05,
57,2020-01-06,"JAMA Study Finds No Significant Link Between Talc Powder, Ovarian Cancer - AJMC.com Managed Markets Network"
58,2020-01-07,"Johnson & Johnson's Ernie Knewitz named Americas comms lead for Janssen - PR Week|US Latino Population With Psoriasis Exposed to Heightened Disease Severity, Worse Quality of Life - AJMC.com Managed Markets Network"
59,2020-01-08,Johnson & Johnson’s Ernie Knewitz named Americas comms lead for Janssen - MM+M Online
60,2020-01-09,Janssen Expands Research & Development Presence with Major Investment in South San Francisco - Business Wire|J&J’s Ethicon defeats all but 4 claims in Kentucky pelvic mesh case - Mass Device
61,2020-01-10,
62,2020-01-11,"Harold Burson, public relations giant often called upon during a crisis, dies at 98 - The Washington Post"
63,2020-01-12,"Johnson & Johnson to pay $6.3M in Infants' Tylenol class-action lawsuit - WTHR|Johnson & Johnson to Pay $6.3 Million in Infant’s Tylenol Settlement - WNEP Scranton/Wilkes-Barre|If you bought Infants’ Tylenol, you may be entitled to cash under class action lawsuit - WECT"
64,2020-01-13,"After Johnson & Johnson Lawyer Scolded By Judge, Talc Trial Resumes With New Defense Team - Law.com|Treatment of human skeletal muscle cells with inhibitors of diacylglycerol acyltransferases 1 and 2 to explore isozyme-specific roles on lipid metabolism - Nature.com"
65,2020-01-14,Healthpeak Signs Johnson & Johnson Subsidiary to The Shore at Sierra Point - Connect CRE
66,2020-01-15,
67,2020-01-16,Judge Slashes $8 billion Risperdal award against Johnson & Johnson to $6.8 million - CBS News
68,2020-01-17,
69,2020-01-18,
70,2020-01-19,Alzheimer’s disease: Why one company refuses to give up the search for a cure - Johnson & Johnson|How the 8 biggest U.S. pharmas enriched their shareholders in 2019 - FiercePharma
71,2020-01-20,JNJ Stock Pattern Suggests Uptrend is Almost Over - EWM Interactive
72,2020-01-21,"Johnson & Johnson beats Wall Street expectations on profit, misses on revenue - CNBC|Johnson & Johnson Is Regaining Its Health - The Wall Street Journal"
73,2020-01-22,Johnson & Johnson to disclose robot-assisted surgery plans in May - Robot Report|Stelara setback in UK reimbursement process - The Pharma Letter|Juniors Star at NSW Amateur - Jack Newton Junior Golf
74,2020-01-23,Rising Trends of Hydrogel Market in Worldwide|Topmost Key - openPR
75,2020-01-24,
76,2020-01-25,
77,2020-01-26,"J&J CEO takes the stand for first time at Baby Powder trial - Al Jazeera English|Theismann, Johnson & Johnson exec kick off SMC3 Jump Start conference - American Journal of Transportation"
78,2020-01-27,What you need to know about the coronavirus—and a potential preventive vaccine - Johnson & Johnson|J&J's ketamine depression drug Spravato spurned by England's influential cost watchdogs - FiercePharma
79,2020-01-28,
