Date,predicted_closing_price
2023-11-08,161.3222
2023-11-09,159.76506
2023-11-10,159.29617
2023-11-13,160.1425
2023-11-14,159.60452
2023-11-15,160.53574
2023-11-16,161.23901
2023-11-17,160.8479
2023-11-20,160.79675
2023-11-21,161.26884
2023-11-22,161.06195
2023-11-24,161.84508
2023-11-27,162.00662
2023-11-28,162.50095
2023-11-29,163.15231
2023-11-30,163.89969
2023-12-01,164.38963
2023-12-04,164.46367
2023-12-05,164.4824
2023-12-06,164.04132
2023-12-07,163.84145
2023-12-08,164.01872
2023-12-11,164.49255
2023-12-12,164.8345
2023-12-13,165.55884
2023-12-14,165.68318
2023-12-15,164.76378
2023-12-18,164.27708
2023-12-19,164.07692
2023-12-20,163.25067
2023-12-21,163.53885
2023-12-22,163.92824
2023-12-26,164.54579
2023-12-27,164.56914
2023-12-28,164.45445
2023-12-29,164.52579
2024-01-02,165.84874
2024-01-03,166.32898
2024-01-04,166.02626
2024-01-05,166.34956
2024-01-08,166.63576
2024-01-09,167.48965
2024-01-10,167.52213
2024-01-11,167.21725
2024-01-12,167.27328
2024-01-16,166.70409
2024-01-17,166.16301
2024-01-18,166.3639
2024-01-19,166.619
2024-01-22,166.91792
2024-01-23,165.43475
2024-01-24,164.70164
2024-01-25,165.01433
2024-01-26,165.073
2024-01-29,164.91087
2024-01-30,164.49883
2024-01-31,164.38411
2024-02-01,164.36554
2024-02-02,164.14577
2024-02-05,164.06073
2024-02-06,164.97783
2024-02-07,165.06297
2024-02-08,164.32458
2024-02-09,164.28429
2024-02-12,164.72252
2024-02-13,164.08693
2024-02-14,163.3109
2024-02-15,164.03214
2024-02-16,163.50153
2024-02-20,163.86295
2024-02-21,164.38483
2024-02-22,164.31494
2024-02-23,164.64957
2024-02-26,164.68666
2024-02-27,164.73874
2024-02-28,164.66486
2024-02-29,164.64316
2024-03-01,164.71574
2024-03-04,164.21233
2024-03-05,164.1832
2024-03-06,164.08458
2024-03-07,163.94705
2024-03-08,163.99713
2024-03-11,164.45818
2024-03-12,164.80325
2024-03-13,164.00569
2024-03-14,163.14073
2024-03-15,162.76773
2024-03-18,162.91422
2024-03-19,162.99924
2024-03-20,162.88356
2024-03-21,162.47604
2024-03-22,162.24812
2024-03-25,161.83815
2024-03-26,162.15399
2024-03-27,163.23273
2024-03-28,163.49348
2024-04-01,163.4682
2024-04-02,163.75745
2024-04-03,163.03787
2024-04-04,162.54704
2024-04-05,162.22203
2024-04-08,162.03482
2024-04-09,162.59903
2024-04-10,162.05147
2024-04-11,161.2975
2024-04-12,160.61826
2024-04-15,160.54259
2024-04-16,159.24158
2024-04-17,159.45854
2024-04-18,158.75645
2024-04-19,158.93748
2024-04-22,159.83781
2024-04-23,160.9804
2024-04-24,160.59114
2024-04-25,159.3159
2024-04-26,158.2264
2024-04-29,159.17401
2024-04-30,157.82076
2024-05-01,161.18513
2024-05-02,160.66963
2024-05-03,159.89761
2024-05-06,159.74669
2024-05-07,159.91617
2024-05-08,160.82776
2024-05-09,161.82025
2024-05-10,161.68123
2024-05-13,161.69202
2024-05-14,161.52245
2024-05-15,161.63991
2024-05-16,161.98828
2024-05-17,162.29927
2024-05-20,161.66164
2024-05-21,161.52017
2024-05-22,162.70195
2024-05-23,162.34908
2024-05-24,162.02484
2024-05-28,161.30783
2024-05-29,161.02509
2024-05-30,161.39372
2024-05-31,161.24396
2024-06-03,162.1166
2024-06-04,162.4796
2024-06-05,162.54634
2024-06-06,162.81223
2024-06-07,162.52821
2024-06-10,162.40585
2024-06-11,161.90146
2024-06-12,161.52138
2024-06-13,162.1373
2024-06-14,162.28981
2024-06-17,162.27654
2024-06-18,161.58003
2024-06-20,162.96056
2024-06-21,162.90596
2024-06-24,162.68312
2024-06-25,161.50533
2024-06-26,160.73645
2024-06-27,160.07115
2024-06-28,159.93164
2024-07-01,160.27574
2024-07-02,159.92809
2024-07-03,159.60402
2024-07-05,160.26039
2024-07-08,160.08481
2024-07-09,161.15189
2024-07-10,162.21445
2024-07-11,162.20079
2024-07-12,162.2654
2024-07-15,162.27313
2024-07-16,162.83295
2024-07-17,163.6525
2024-07-18,163.91116
2024-07-19,163.8358
2024-07-22,163.8514
2024-07-23,163.78221
2024-07-24,164.46506
2024-07-25,164.9344
2024-07-26,165.3283
2024-07-29,165.2992
2024-07-30,165.65527
2024-07-31,165.43158
2024-08-01,165.59305
2024-08-02,165.7112
2024-08-05,165.63885
2024-08-06,165.63121
2024-08-07,165.6745
2024-08-08,165.98375
2024-08-09,166.19965
2024-08-12,166.05882
2024-08-13,165.65
2024-08-14,165.44368
2024-08-15,165.35876
2024-08-16,165.30243
2024-08-19,165.4078
2024-08-20,165.64404
2024-08-21,166.01553
2024-08-22,166.57137
2024-08-23,166.17868
2024-08-26,166.13216
2024-08-27,166.29375
2024-08-28,167.11595
2024-08-29,167.48367
2024-08-30,167.73465
2024-09-03,168.1914
2024-09-04,168.62729
2024-09-05,168.68446
2024-09-06,168.83884
2024-09-09,169.58707
2024-09-10,169.71716
2024-09-11,169.14555
2024-09-12,168.51425
2024-09-13,168.84145
2024-09-16,169.51425
2024-09-17,169.63548
2024-09-18,169.09901
2024-09-19,168.51944
2024-09-20,168.43901
2024-09-23,168.58205
2024-09-24,168.7595
2024-09-25,168.00693
2024-09-26,168.22176
2024-09-27,168.36562
2024-09-30,169.25685
2024-10-01,169.16246
2024-10-02,168.68742
2024-10-03,167.99144
