,date,top_5_titles
0,2019-11-10,Dreading winter? Check out these 3 simple ways to help keep your kids healthy this season - Johnson & Johnson
1,2019-11-11,Johnson & Johnson's Tremfya backs psoriatic arthritis play with newest data - FiercePharma | FDA Class 1 Recall of J&J/Ethicon Surgical Staplers - Louisville Personal Injury Attorney
2,2019-11-12,Johnson & Johnson's Tremfya backs psoriatic arthritis play with newest data - FiercePharma | FDA Class 1 Recall of J&J/Ethicon Surgical Staplers - Louisville Personal Injury Attorney | Ebola vaccine approved as second jab trialled - BBC
3,2019-11-13,"CIO50 2019: #18 Angela Coble, Johnson & Johnson - CIO | Q&A: How to overhaul community health for improved global outcomes - Devex | Ebola vaccine approved as second jab trialled - BBC | Dr Koongoo keessatti talaalliin Iboolaa marsaa lammaffaan kennamuufi - BBC.com"
4,2019-11-14,"CIO50 2019: #18 Angela Coble, Johnson & Johnson - CIO | Dr Koongoo keessatti talaalliin Iboolaa marsaa lammaffaan kennamuufi - BBC.com | Oklahoma judge reduces penalty against Johnson & Johnson in opioid crisis lawsuit - Fox News | Oklahoma Judge Shaves $107 Million Off Opioid Decision Against Johnson & Johnson - NPR | Q&A: How to overhaul community health for improved global outcomes - Devex"
5,2019-11-15,"Oklahoma Judge Shaves $107 Million Off Opioid Decision Against Johnson & Johnson - NPR | Whoops. Judge Reduces J&J Opioid Fine After Mistaking Thousands for Millions (Published 2019) - The New York Times | AHA: Johnson & Johnson, Bayer still looking for answers in aborted Xarelto study - FiercePharma | Oklahoma judge reduces penalty against Johnson & Johnson in opioid crisis lawsuit - Fox News | Rollout of Johnson & Johnson Ebola vaccine begins in Congo - The Fiji Times"
6,2019-11-16,"Whoops. Judge Reduces J&J Opioid Fine After Mistaking Thousands for Millions (Published 2019) - The New York Times | AHA: Johnson & Johnson, Bayer still looking for answers in aborted Xarelto study - FiercePharma | Lee So-young cruised to two-stroke victory at 2019 LF Hazzys Point Final Championship - 코리아타임스"
7,2019-11-17,"Inflammatory Bowel Disease Insight Report: Current Therapies, Drug Pipeline and Outlook - BioSpace | Lee So-young cruised to two-stroke victory at 2019 LF Hazzys Point Final Championship - 코리아타임스"
8,2019-11-18,"What Do Working Dads Want? Flexibility and Paid Family Leave to Start - Johnson & Johnson | Inflammatory Bowel Disease Insight Report: Current Therapies, Drug Pipeline and Outlook - BioSpace | Top 10 pharma settlements since 2018 - FiercePharma | New York CIO Leadership Association 2019: Larry Jones - Crain's New York Business"
9,2019-11-19,Top 10 pharma settlements since 2018 - FiercePharma | Pelvic mesh maker Johnson and Johnson loses class action suit - ABC News | Johnson & Johnson invests EGP 2.3bn in Egypt - Daily News Egypt | Australian women win landmark vaginal mesh class action against Johnson & Johnson - The Guardian | Australian women win mesh implant class action lawsuit against Johnson & Johnson - Feminist Current
10,2019-11-20,Global Cosmetic Skin Care Market 2019-2023 | Evolving Opportunities with Beiersdorf and Johnson & Johnson Services | Technavio - Business Wire | Johnson & Johnson invests EGP 2.3bn in Egypt - Daily News Egypt | Johnson & Johnson loses vaginal mesh class action - BBC | Australian women win landmark vaginal mesh class action against Johnson & Johnson - The Guardian | New Cervical Spine System from DePuy Synthes Advances Treatment Options for Patients with Complex Cervical Spine Disorders - PR Newswire
11,2019-11-21,'Treated like guinea pigs': Landmark win for Australian women - The Canberra Times | Johnson & Johnson loses vaginal mesh class action - BBC | Pelvic mesh maker Johnson and Johnson loses class action suit - The New Daily | New Cervical Spine System from DePuy Synthes Advances Treatment Options for Patients with Complex Cervical Spine Disorders - PR Newswire | J&J's DePuy Synthes launches surgical fixation system for patients with frailer head and neck bones - Fierce Biotech
12,2019-11-22,"Fight is not over, says winner of vaginal mesh implant court victory - CNN | J&J's DePuy Synthes launches surgical fixation system for patients with frailer head and neck bones - Fierce Biotech"
13,2019-11-23,
14,2019-11-24,
15,2019-11-25,
16,2019-11-26,Epidemiology of Hematologic Malignancies in Real-World Settings: Findings From the Hemato-Oncology Latin America Observational Registry Study - ASCO Journals | Development of PsA Linked to Tenosynovitis in Patients With Arthralgia - AJMC.com Managed Markets Network
17,2019-11-27,Epidemiology of Hematologic Malignancies in Real-World Settings: Findings From the Hemato-Oncology Latin America Observational Registry Study - ASCO Journals | Development of PsA Linked to Tenosynovitis in Patients With Arthralgia - AJMC.com Managed Markets Network
18,2019-11-28,
19,2019-11-29,
20,2019-11-30,
21,2019-12-01,"Have IBD? Read about the next frontier in disease research that taps into the microbiome - Johnson & Johnson | Ski-in, ski-out Vail chalet formerly owned by Johnson & Johnson heiress listed for $26M (Photos) - The Business Journals"
22,2019-12-02,"Have IBD? Read about the next frontier in disease research that taps into the microbiome - Johnson & Johnson | Johnson & Johnson confirms no asbestos in Johnson's Baby Powder - CNBC | The top 15 biopharma M&A mistakes of the last decade - FiercePharma | Ski-in, ski-out Vail chalet formerly owned by Johnson & Johnson heiress listed for $26M (Photos) - The Business Journals"
23,2019-12-03,J&J Stock Gains After Company Says FDA Wrong About Asbestos In Baby Powder - Barron's | Johnson & Johnson confirms no asbestos in Johnson's Baby Powder - CNBC | The top 15 biopharma M&A mistakes of the last decade - FiercePharma | Johnson & Johnson Confirms No Asbestos In Johnson's Baby Powder - Checkout | 2019 Australian 15 Years and Under Championship - Jack Newton Junior Golf
24,2019-12-04,"J&J Stock Gains After Company Says FDA Wrong About Asbestos In Baby Powder - Barron's | Johnson & Johnson Names Hubert Joly, Executive Chairman of Best Buy and Mark A. Weinberger, Former EY Global Chairman and CEO to its Board of Directors - PR Newswire | Johnson & Johnson Confirms No Asbestos In Johnson's Baby Powder - Checkout | 2019 Australian 15 Years and Under Championship - Jack Newton Junior Golf"
25,2019-12-05,"Hubert Joly - Johnson & Johnson | Johnson & Johnson Names Hubert Joly, Executive Chairman of Best Buy and Mark A. Weinberger, Former EY Global Chairman and CEO to its Board of Directors - PR Newswire"
26,2019-12-06,"Vindicated. New J&J CAR-T myeloma data confirm strong efficacy, ease doubts raised by Chinese version - STAT"
27,2019-12-07,"Vindicated. New J&J CAR-T myeloma data confirm strong efficacy, ease doubts raised by Chinese version - STAT | The Weekly | Johnson & Johnson Lawsuits Raise Fears Over Baby Powder (Published 2019) - The New York Times"
28,2019-12-08,The Weekly | Johnson & Johnson Lawsuits Raise Fears Over Baby Powder (Published 2019) - The New York Times | ASH: J&J's Darzalex cuts death risk by 40% in new myeloma patients - FiercePharma
29,2019-12-09,ASH: J&J's Darzalex cuts death risk by 40% in new myeloma patients - FiercePharma
30,2019-12-10,
31,2019-12-11,
32,2019-12-12,
33,2019-12-13,
34,2019-12-14,
35,2019-12-15,"Pfizer, Astellas' Xtandi matches J&J's rival Erleada with new prostate cancer nod - FiercePharma"
36,2019-12-16,"Pfizer, Astellas' Xtandi matches J&J's rival Erleada with new prostate cancer nod - FiercePharma | This is the decade we made one of the world’s deadliest diseases preventable and curable - Wellcome Trust"
37,2019-12-17,This is the decade we made one of the world’s deadliest diseases preventable and curable - Wellcome Trust
38,2019-12-18,▼ (Esketamine) Nasal Spray Approved in Europe for Adults with Treatment-Resistant Major Depressive Disorder - Business Wire
39,2019-12-19,Johnson & Johnson Announces Agreement to Acquire Remaining Stake in Verb Surgical Inc. - PR Newswire | J&J to acquire remaining stake in Verb Surgical - Mass Device | J&J takes over Verb Surgical as Verily exits robotics partnership - MedTech Dive | Johnson & Johnson Agrees to Acquire Remaining Stake in Verb Surgical Inc. - MPO-mag | ▼ (Esketamine) Nasal Spray Approved in Europe for Adults with Treatment-Resistant Major Depressive Disorder - Business Wire
40,2019-12-20,Johnson & Johnson Announces Agreement to Acquire Remaining Stake in Verb Surgical Inc. - PR Newswire | J&J to acquire remaining stake in Verb Surgical - Mass Device | J&J takes over Verb Surgical as Verily exits robotics partnership - MedTech Dive | Johnson & Johnson Agrees to Acquire Remaining Stake in Verb Surgical Inc. - MPO-mag | Johnson & Johnson Acquires Taris Biomedical - FinSMEs
41,2019-12-21,Johnson & Johnson Acquires Taris Biomedical - FinSMEs
42,2019-12-22,J&J taps TARIS Biomedical for novel bladder cancer technology - PMLiVE | Johnson & Johnson Acquires TARIS Biomedical - njbmagazine.com | Johnson & Johnson buys out Verily stake in Verb Surgical - Robot Report | Jury backs Johnson & Johnson in talc cancer case - Fox Business
43,2019-12-23,Johnson & Johnson Acquires TARIS Biomedical - njbmagazine.com | Carcinogens in Consumer Products - C-SPAN | Johnson & Johnson buys out Verily stake in Verb Surgical - Robot Report | Jury backs Johnson & Johnson in talc cancer case - Fox Business | J&J taps TARIS Biomedical for novel bladder cancer technology - PMLiVE
